 Water (kg/m3),Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Slag (kg/m3),Fly ash (kg/m3),SP (kg/m3),Strength (MPa)
0.169851301,0.227142857,0.746245955,0.56,0.01,0.57969697,0.217581892,0.497728693
0.444944238,0.554761905,0.713883495,0.463846154,0.01,0.282727273,0.192186235,0.512342704
0.311115242,0.383333333,0.713883495,0.476666667,0.01,0.555454545,0.225311005,0.504645248
0.177286245,0.297619048,0.713883495,0.502307692,0.01,0.691818182,0.258435775,0.51669344
0.08063197,0.211904762,0.713883495,0.527948718,0.01,0.828181818,0.30812293,0.437933958
0.314832714,0.297619048,0.746245955,0.521538462,0.01,0.464545455,0.206172249,0.444627398
0.175799257,0.227142857,0.746245955,0.56,0.01,0.57969697,0.217581892,0.497728693
0.064275093,0.154761905,0.746245955,0.592051282,0.01,0.691818182,0.283463379,0.349468987
0.314832714,0.383333333,0.713883495,0.476666667,0.01,0.555454545,0.192186235,0.504645248
0.181003717,0.297619048,0.713883495,0.502307692,0.01,0.691818182,0.248498344,0.51669344
0.08063197,0.211904762,0.713883495,0.527948718,0.01,0.828181818,0.281623114,0.437933958
0.891040892,0.503714286,0.445760518,0.776666667,0.01,0.188181818,0.01,0.432467648
0.891040892,0.391714286,0.426747573,0.776666667,0.01,0.366363636,0.01,0.330504239
0.891040892,0.391714286,0.455469256,0.776666667,0.331311475,0.01,0.01,0.416180277
0.705167286,0.914761905,0.399158576,0.735641026,0.01,0.194848485,0.12409643,0.426555109
0.705167286,0.798571429,0.391067961,0.735641026,0.01,0.37969697,0.12409643,0.406474788
0.705167286,0.682380952,0.383786408,0.735641026,0.01,0.564545455,0.12409643,0.402012494
0.720037175,0.682380952,0.492200647,0.735641026,0.01,0.152424242,0.05416636,0.349580544
0.720037175,0.590952381,0.486537217,0.735641026,0.01,0.297878788,0.05416636,0.344002677
0.727472119,0.533809524,0.550453074,0.735641026,0.01,0.128181818,0.02472212,0.357389558
0.727472119,0.45952381,0.546407767,0.735641026,0.01,0.246363636,0.02472212,0.391972334
0.727472119,0.387142857,0.541553398,0.735641026,0.01,0.361515152,0.02472212,0.402012494
0.651635688,0.882380952,0.442847896,0.685641026,0.17147541,0.01,0.162373942,0.624457831
0.651635688,0.769809524,0.438802589,0.685641026,0.33295082,0.01,0.162373942,0.607612673
0.651635688,0.544666667,0.432330097,0.685641026,0.656174863,0.01,0.162373942,0.579388666
0.679144981,0.578380952,0.56420712,0.685641026,0.123114754,0.01,0.025090173,0.429232485
0.679144981,0.49952381,0.561779935,0.685641026,0.236229508,0.01,0.025090173,0.481664436
0.682118959,0.375714286,0.645113269,0.685641026,0.090874317,0.01,0.01,0.220062472
0.682118959,0.31952381,0.642686084,0.685641026,0.17147541,0.01,0.01,0.216938867
0.682118959,0.206761905,0.638640777,0.685641026,0.33295082,0.01,0.01,0.237911647
0.496988848,0.76047619,0.649158576,0.503589744,0.01,0.167575758,0.29708134,0.656697903
0.496988848,0.661428571,0.649158576,0.484358974,0.01,0.325151515,0.33020611,0.598688086
0.496988848,0.661428571,0.673430421,0.467692308,0.294153005,0.01,0.28603975,0.646880857
0.496988848,0.463333333,0.68961165,0.429230769,0.578306011,0.01,0.26027604,0.680682731
0.375799257,0.61152381,0.751504854,0.471923077,0.01,0.305454545,0.19034597,0.404243641
0.691784387,0.445809524,0.750857605,0.471025641,0.01,0.239393939,0.01,0.261784917
0.789925651,0.388095238,0.750857605,0.471025641,0.01,0.216363636,0.01,0.166291834
0.437509294,0.437238095,0.750857605,0.471025641,0.553442623,0.01,0.01,0.531419009
0.595130112,0.364666667,0.750857605,0.471025641,0.484043716,0.01,0.01,0.461361
0.717063197,0.308666667,0.750857605,0.471025641,0.430491803,0.01,0.01,0.322360553
0.386208178,0.526761905,0.751585761,0.471923077,0.293060109,0.144545455,0.21610968,0.471066488
0.566133829,0.443142857,0.751262136,0.471538462,0.256994536,0.127575758,0.09833272,0.369772423
0.705910781,0.378380952,0.750857605,0.471025641,0.229125683,0.114242424,0.01,0.288670237
0.80330855,0.326952381,0.750857605,0.471025641,0.206994536,0.103636364,0.01,0.214149933
0.904423792,0.989428571,0.465744337,0.378846154,0.01,0.277272727,0.01,0.616202588
0.843457249,0.727142857,0.465744337,0.378846154,0.01,0.678787879,0.01,0.59389112
0.910371747,0.743333333,0.571569579,0.378846154,0.01,0.218787879,0.01,0.48233378
0.871710037,0.597809524,0.571569579,0.378846154,0.01,0.415757576,0.01,0.504645248
0.856840149,0.541619048,0.571569579,0.378846154,0.01,0.491515152,0.01,0.415399375
0.88063197,0.468285714,0.639368932,0.378846154,0.01,0.343636364,0.01,0.404243641
0.867249071,0.422761905,0.639368932,0.378846154,0.01,0.406363636,0.01,0.337309237
0.918550186,0.477238095,0.689530744,0.378846154,0.01,0.155151515,0.01,0.303842035
0.88732342,0.378190476,0.689530744,0.378846154,0.01,0.299393939,0.01,0.292686301
0.875427509,0.339714286,0.689530744,0.378846154,0.01,0.346969697,0.01,0.225751896
0.920780669,0.766,0.465744337,0.378846154,0.588961749,0.01,0.01,0.683136992
